job_title,JOB_LOCATION,JOB_SALARY_RANGE,JOB_DESCRIPTION,POSTING_DATE,SCRAPING_DATE
SkyWatch,+1 locationRemote,vide,You have a solid understanding of data science tools…,8 days ago,2021-11-17 22:55:00
Morgan Stanley,"Montréal, QC",vide,Maintains complex data pipeline supporting our team’s mission in democratizing data and enabling…,27 days ago,2021-11-17 22:55:00
Bank of Canada,"Ottawa, ON",$22.89 an hour,"You are comfortable conducting data searches, manipulating data tables and microdata, extracting data from databases such as Statistics Canada data tables.",12 days ago,2021-11-17 22:55:01
Intelcom Express,"Montréal, QC",vide,Pour soutenir sa transformation technologique et permettre la prise de décision…,30+ days ago,2021-11-17 22:55:01
Geotab,"Oakville, ON•Remote",vide,As a Data Scientist your key area of responsibility will be to design and construct Geotab's data mining and model building processes from vast amounts of raw…,Just posted,2021-11-17 22:55:01
Rizing,"Montréal, QC",vide,"As a data scientist, with experience in Business and People Analytics, you will be responsible helping Rizing and its clients shift to data-driven decision…",30+ days ago,2021-11-17 22:55:01
Sonder,"Montréal, QC",vide,"With thousands of beautiful spaces built for travel and living,…",30+ days ago,2021-11-17 22:55:01
Deep Genomics,"Toronto, ON•Remote",vide,"The successful candidate will work in a multidisciplinary team of biologists and computational scientists, and take on tasks spanning analysis and visualization…",30+ days ago,2021-11-17 22:55:01
Société Générale,"Montréal, QC",vide,You are currently enrolled in a Master's degree or Bachelor degree with an IT specialization (software development or data science/analytics focus) and you are…,30+ days ago,2021-11-17 22:55:01
IQVIA,Remote,vide,Experience developing scalable solutions and pipelines to handle…,20 days ago,2021-11-17 22:55:01
Habitat | Eco2urb inc,"Montréal, QC•Temporarily Remote","$50,000 a year",Essential Duties: The primary responsibilities of the successful candidate will be to conduct innovative research in collaboration with a diverse group of…,14 days ago,2021-11-17 22:55:01
Brain Finance,"Montréal, QC",vide,"Utilizing Apache Spark, Apache Kafka, and Apache Cassandra to develop scalable real-time and data…",30+ days ago,2021-11-17 22:55:01
Canadian Tire,"Toronto, ON+1 location",vide,Help us boldly shape retail in Canada.,1 day ago,2021-11-17 22:55:01
TD Bank,"Toronto, ON",vide,Identify opportunities and recommend data related solutions to enhance…,Just posted,2021-11-17 22:55:01
Ericsson,"Saint-Laurent, QC",vide,Conduct studies and find creative usage of new and/or existing data sources.,19 days ago,2021-11-17 22:55:01
Web.Com,"Brossard, QC",vide,Assess the effectiveness and accuracy of new data sources and data gathering techniques.,30+ days ago,2021-11-17 22:55:01
Koïos Intelligence,"Montréal, QC",vide,"Demonstrates strong ability and knowledge of database principles, data profiling, statistics and…",30+ days ago,2021-11-17 22:55:01
Web.Com,"Brossard, QC",vide,Assess the effectiveness and accuracy of new data sources and data gathering techniques.,30+ days ago,2021-11-17 22:55:01
Koïos Intelligence,"Montréal, QC",vide,"Demonstrates strong ability and knowledge of database principles, data profiling, statistics and…",30+ days ago,2021-11-17 22:55:01
BluVec Technologies INC,"Burnaby, BC","$70,000 - $120,000 a year",Computer hardware or software retailer/wholesaler.,26 days ago,2021-11-17 22:55:01
sharethrough,"Montréal, QC+1 location•Remote",vide,"Analyze Sharethrough data to discover patterns, abnormalities, and…",30+ days ago,2021-11-17 22:55:01
